1969-12-31 16:00:05.993631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:06.493615 (+0.499985 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:06.493647 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:06.493674 (+0.000027 s): semaphore_give_enter (536892888)
1969-12-31 16:00:06.493695 (+0.000022 s): semaphore_give_exit (536892888)
1969-12-31 16:00:06.493714 (+0.000018 s): semaphore_take_enter (536892908)
1969-12-31 16:00:06.493732 (+0.000019 s): semaphore_take_blocking (536892908)
1969-12-31 16:00:06.493760 (+0.000028 s): thread_switched_out: thread_b 
1969-12-31 16:00:06.493792 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:06.493813 (+0.000021 s): semaphore_take_exit (536892888)
1969-12-31 16:00:06.497599 (+0.003786 s): thread_switched_out: thread_a 
1969-12-31 16:00:06.497631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:06.997615 (+0.499984 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:06.997647 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:06.997674 (+0.000027 s): semaphore_give_enter (536892908)
1969-12-31 16:00:06.997695 (+0.000022 s): semaphore_give_exit (536892908)
1969-12-31 16:00:06.997714 (+0.000018 s): semaphore_take_enter (536892888)
1969-12-31 16:00:06.997732 (+0.000019 s): semaphore_take_blocking (536892888)
1969-12-31 16:00:06.997760 (+0.000028 s): thread_switched_out: thread_a 
1969-12-31 16:00:06.997792 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:06.997813 (+0.000021 s): semaphore_take_exit (536892908)
1969-12-31 16:00:07.001599 (+0.003786 s): thread_switched_out: thread_b 
1969-12-31 16:00:07.001631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:07.501615 (+0.499985 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:07.501647 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:07.501674 (+0.000027 s): semaphore_give_enter (536892888)
1969-12-31 16:00:07.501695 (+0.000022 s): semaphore_give_exit (536892888)
1969-12-31 16:00:07.501714 (+0.000018 s): semaphore_take_enter (536892908)
1969-12-31 16:00:07.501732 (+0.000019 s): semaphore_take_blocking (536892908)
1969-12-31 16:00:07.501760 (+0.000028 s): thread_switched_out: thread_b 
1969-12-31 16:00:07.501792 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:07.501813 (+0.000021 s): semaphore_take_exit (536892888)
1969-12-31 16:00:07.505599 (+0.003786 s): thread_switched_out: thread_a 
1969-12-31 16:00:07.505631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:08.005615 (+0.499985 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:08.005647 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:08.005674 (+0.000027 s): semaphore_give_enter (536892908)
1969-12-31 16:00:08.005696 (+0.000022 s): semaphore_give_exit (536892908)
1969-12-31 16:00:08.005714 (+0.000018 s): semaphore_take_enter (536892888)
1969-12-31 16:00:08.005732 (+0.000019 s): semaphore_take_blocking (536892888)
1969-12-31 16:00:08.005760 (+0.000028 s): thread_switched_out: thread_a 
1969-12-31 16:00:08.005792 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:08.005813 (+0.000021 s): semaphore_take_exit (536892908)
1969-12-31 16:00:08.009599 (+0.003786 s): thread_switched_out: thread_b 
1969-12-31 16:00:08.009631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:08.509615 (+0.499984 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:08.509647 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:08.509674 (+0.000027 s): semaphore_give_enter (536892888)
1969-12-31 16:00:08.509695 (+0.000022 s): semaphore_give_exit (536892888)
1969-12-31 16:00:08.509714 (+0.000018 s): semaphore_take_enter (536892908)
1969-12-31 16:00:08.509732 (+0.000019 s): semaphore_take_blocking (536892908)
1969-12-31 16:00:08.509760 (+0.000028 s): thread_switched_out: thread_b 
1969-12-31 16:00:08.509792 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:08.509813 (+0.000021 s): semaphore_take_exit (536892888)
1969-12-31 16:00:08.513599 (+0.003786 s): thread_switched_out: thread_a 
1969-12-31 16:00:08.513631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:09.013615 (+0.499985 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:09.013647 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:09.013674 (+0.000027 s): semaphore_give_enter (536892908)
1969-12-31 16:00:09.013696 (+0.000022 s): semaphore_give_exit (536892908)
1969-12-31 16:00:09.013714 (+0.000018 s): semaphore_take_enter (536892888)
1969-12-31 16:00:09.013732 (+0.000019 s): semaphore_take_blocking (536892888)
1969-12-31 16:00:09.013760 (+0.000028 s): thread_switched_out: thread_a 
1969-12-31 16:00:09.013792 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:09.013813 (+0.000021 s): semaphore_take_exit (536892908)
1969-12-31 16:00:09.017599 (+0.003786 s): thread_switched_out: thread_b 
1969-12-31 16:00:09.017631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:09.517615 (+0.499985 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:09.517647 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:09.517674 (+0.000027 s): semaphore_give_enter (536892888)
1969-12-31 16:00:09.517695 (+0.000022 s): semaphore_give_exit (536892888)
1969-12-31 16:00:09.517714 (+0.000018 s): semaphore_take_enter (536892908)
1969-12-31 16:00:09.517732 (+0.000019 s): semaphore_take_blocking (536892908)
1969-12-31 16:00:09.517760 (+0.000028 s): thread_switched_out: thread_b 
1969-12-31 16:00:09.517792 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:09.517813 (+0.000021 s): semaphore_take_exit (536892888)
1969-12-31 16:00:09.521599 (+0.003786 s): thread_switched_out: thread_a 
1969-12-31 16:00:09.521631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:10.021615 (+0.499985 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:10.021647 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:10.021674 (+0.000027 s): semaphore_give_enter (536892908)
1969-12-31 16:00:10.021695 (+0.000022 s): semaphore_give_exit (536892908)
1969-12-31 16:00:10.021714 (+0.000018 s): semaphore_take_enter (536892888)
1969-12-31 16:00:10.021732 (+0.000019 s): semaphore_take_blocking (536892888)
1969-12-31 16:00:10.021760 (+0.000028 s): thread_switched_out: thread_a 
1969-12-31 16:00:10.021792 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:10.021813 (+0.000021 s): semaphore_take_exit (536892908)
1969-12-31 16:00:10.025599 (+0.003786 s): thread_switched_out: thread_b 
1969-12-31 16:00:10.025631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:10.525615 (+0.499984 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:10.525647 (+0.000031 s): thread_switched_in: thread_b 
1969-12-31 16:00:10.525674 (+0.000027 s): semaphore_give_enter (536892888)
1969-12-31 16:00:10.525695 (+0.000022 s): semaphore_give_exit (536892888)
1969-12-31 16:00:10.525714 (+0.000018 s): semaphore_take_enter (536892908)
1969-12-31 16:00:10.525732 (+0.000019 s): semaphore_take_blocking (536892908)
1969-12-31 16:00:10.525760 (+0.000028 s): thread_switched_out: thread_b 
1969-12-31 16:00:10.525792 (+0.000032 s): thread_switched_in: thread_a 
1969-12-31 16:00:10.525813 (+0.000021 s): semaphore_take_exit (536892888)
1969-12-31 16:00:10.529599 (+0.003786 s): thread_switched_out: thread_a 
1969-12-31 16:00:10.529631 (+0.000032 s): thread_switched_in: tracing_thread 
1969-12-31 16:00:11.029615 (+0.499985 s): thread_switched_out: tracing_thread 
1969-12-31 16:00:11.029647 (+0.000031 s): thread_switched_in: thread_a 
1969-12-31 16:00:11.029674 (+0.000027 s): semaphore_give_enter (536892908)
1969-12-31 16:00:11.029695 (+0.000022 s): semaphore_give_exit (536892908)
1969-12-31 16:00:11.029714 (+0.000018 s): semaphore_take_enter (536892888)
1969-12-31 16:00:14.946203 (+3.916489 s): isr_enter
1969-12-31 16:00:14.946238 (+0.000035 s): isr_exit
1969-12-31 16:00:14.950910 (+0.004672 s): isr_enter
1969-12-31 16:00:14.950931 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:14.950949 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:14.950970 (+0.000021 s): isr_exit
1969-12-31 16:00:14.951019 (+0.000049 s): isr_enter
1969-12-31 16:00:14.951047 (+0.000027 s): isr_exit
1969-12-31 16:00:14.956133 (+0.005086 s): isr_enter
1969-12-31 16:00:14.956154 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:14.956172 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:14.956193 (+0.000021 s): isr_exit
1969-12-31 16:00:14.956242 (+0.000049 s): isr_enter
1969-12-31 16:00:14.956270 (+0.000027 s): isr_exit
1969-12-31 16:00:14.960424 (+0.004154 s): isr_enter
